ChargeThreshold_fC,Probability,CrossSection_cm2,CrossSection_Uncertainty_cm2
0.08442374807327485,0.002116807927287067,3.386892683659309e-14,7.389073151073579e-16
0.08679271932897736,0.0019958860311849276,3.1934176498958853e-14,7.174895075796783e-16
0.08922816506536123,0.0019072029248494654,3.051524679759146e-14,7.013665795634906e-16
0.09173195058854666,0.0018306180810414953,2.928988929666394e-14,6.871389839934672e-16
0.09430599354604695,0.0017338734268262052,2.7741974829219293e-14,6.687321876559275e-16
0.09695226539549322,0.0016744193133244988,2.6790709013191992e-14,6.5716575873160915e-16
0.09967279291457255,0.001608914729863638,2.5742635677818217e-14,6.441808610543319e-16
0.1024696597533354,0.0015655797386865597,2.5049275818984965e-14,6.354453510590812e-16
0.10534500803006167,0.0015202276106904028,2.4323641771046455e-14,6.2617313435626e-16
0.1083010399719077,0.0014718537293066038,2.354965966890567e-14,6.16128734518922e-16
0.1113400196015903,0.0014345614544017007,2.295298327042722e-14,6.082728627335853e-16
0.11446427447140006,0.0013952550696735271,2.232408111477644e-14,5.998803204510698e-16
0.1176761974458721,0.0013559485986086074,2.1695177577737726e-14,5.913686374962514e-16
0.12097824853447914,0.0013186551037476166,2.1098481659961874e-14,5.831787839496164e-16
0.12437295677575112,0.0012833766466629458,2.053402634660714e-14,5.753236932380511e-16
0.12786292217426387,0.0012450753494787495,1.992120559166e-14,5.666722785487462e-16
0.13145081769198072,0.0012198713096837747,1.9517940954940404e-14,5.609078084864893e-16
0.13513939129547217,0.0011906406301116805,1.9050250081786894e-14,5.54145728129719e-16
0.13893146806058146,0.0011563728908289923,1.8501966253263885e-14,5.461120409004784e-16
0.1428299523361482,0.0011150479717117268,1.7840767547387635e-14,5.362628453720257e-16
0.14683782996844685,0.0010807778030348708,1.7292444848557938e-14,5.279559252645866e-16
0.1509581705880444,0.0010394556772317738,1.6631290835708387e-14,5.177614132793645e-16
0.15519412996082796,0.000992086671557976,1.587338674492762e-14,5.058223075620845e-16
0.15954895240500394,0.0009588237844009418,1.5341180550415075e-14,4.972686070472802e-16
0.1640259732759187,0.0009114536612291122,1.45832585796658e-14,4.848250361366331e-16
0.16862862152060482,0.0008771839107091073,1.4034942571345722e-14,4.756202811862054e-16
0.17336042230400914,0.0008368671108850977,1.3389873774161569e-14,4.645581817685432e-16
0.17822499970891414,0.0007854647400712129,1.2567435841139411e-14,4.500594118059616e-16
0.1832260795116203,0.0007380933288664091,1.1809493261862551e-14,4.362711965399425e-16
0.18836749203551528,0.0006967682000611676,1.1148291200978685e-14,4.238772542722908e-16
0.19365317508471608,0.0006403196339304559,1.0245114142887297e-14,4.0633832249844813e-16
0.19908717696003017,0.0005979877724575345,9.567804359320555e-15,3.9267065685656e-16
0.20467365955954614,0.000546583145623561,8.745330329976978e-15,3.7540544624682385e-16
0.21041690156622858,0.0004971932305934606,7.955091689495372e-15,3.5803395478249197e-16
0.21632130172495806,0.0004316784856437007,6.9068557702992145e-15,3.335973833471403e-16
0.22239138221152674,0.00038631927320652174,6.18110837130435e-15,3.1557337786389557e-16
0.22863179209616954,0.00033592633732385,5.3748213971816025e-15,2.9425428048893867e-16
0.2350473109042835,0.0002976262740597595,4.7620203849561535e-15,2.769563865597626e-16
0.2416428522770631,0.0002563008845446166,4.100814152713867e-15,2.569904194333403e-16
0.2484234677348545,0.00019986127912078518,3.197780465932564e-15,2.2689890362280875e-16
0.25539435054611065,0.0001434190897848457,2.294705436557532e-15,1.921517983790397e-16
0.2625608397049125,7.588872613606508e-05,1.2142196181770418e-15,1.3964664817453341e-16
0.26992842402010064,3.053198690502904e-05,4.885117904804649e-16,8.83193516266902e-17
0.2775027463191496,1.4404931331984699e-05,2.304789013117553e-16,6.033237499016882e-17
0.2852896077700057,8.353171796072274e-06,1.3365074873715643e-16,4.560567182671305e-17
0.29329497232419727,6.330757459276356e-06,1.0129211934842174e-16,3.949476717665143e-17
0.3015249712846205,5.320033544208854e-06,8.51205367073417e-17,3.605296686515904e-17
0.30998590800150044,2.2924147241283207e-06,3.6678635586053146e-17,2.2805866763762215e-17
0.3186842627001218,2.709684722358361e-07,4.335495555773379e-18,2.590954388522134e-19
0.3276266974440292,2.700009491527453e-07,4.320015186443927e-18,2.586325694101607e-19
0.3368200612374965,2.6806545618455855e-07,4.289047298952939e-18,2.577039316634613e-19
0.3462713952711742,2.5935486215166745e-07,4.149677794426681e-18,2.5348187708357263e-19
0.3559879383149327,2.574192361207679e-07,4.118707777932288e-18,2.5253424053500832e-19
0.3659771322620306,2.545165631454438e-07,4.0722650103271026e-18,2.5110661443432333e-19
0.37624662782885493,2.496780491201207e-07,3.994848785921933e-18,2.4870842849858304e-19
0.38680429041459974,2.448391030775383e-07,3.917425649240614e-18,2.4628640762580176e-19
0.3976582061253695,2.3903290298767386e-07,3.8245264478027835e-18,2.433488136314316e-19
0.40881668796732223,2.3322628799360245e-07,3.731620607897641e-18,2.4037482645204093e-19
0.42028828221359416,2.225826639914885e-07,3.561322623863817e-18,2.3482666999193032e-19
0.4320817749498847,2.177437470527366e-07,3.483899952843787e-18,2.322599985292541e-19
0.444206198803713,2.158082692185417e-07,3.4529323074966683e-18,2.3122546864892176e-19
0.4566708398625004,2.1290502895135433e-07,3.4064804632216705e-18,2.2966483906137323e-19
0.46948524478577885,2.0903344883117824e-07,3.3445351812988533e-18,2.275667623923778e-19
0.4826592281169696,2.0225940376985818e-07,3.236150460317732e-18,2.2384919604970177e-19
